name,dex_id,short_desc,long_desc,height,weight,gen_introduced,types,abilities,pre_evolution,evolution_condition,evolutions,is_mega,megas,move_set,health,attack,defense,sp_attack,sp_defense,speed,ev_yield,pokemon_db_source,bulbapedia_source
Croagunk,453,Croagunk is a Poison/Fighting type Pokémon introduced in Generation 4. It is known as the Toxic Mouth Pokémon.,"Croagunk is a dark blue, bipedal Pokémon that resembles a poison dart frog. It has yellow eyes, which are surrounded by black markings. There are orange, expandable pouches on its cheeks, and its teeth are wide and flat. A black marking encircles its upper arms and chest, and there are white bands around its chest. The white markings are slightly higher up on the female Croagunk than the male. It has three fingers and toes, most of which are black. The only digits that are not black are its center fingers, which are orange instead.

Croagunk's cheek pouches and fingers contain a poisonous fluid. However, the fluid squeezed from its finger is also a significant ingredient in remedies for lower back pain. The cheek pouches can be used to create an unnerving sound. When its opponents are distracted, it tries to stab them with its fingers. Despite this, it is a mild Pokémon, fighting only to ensure its own survival.
",0.7,23.0,4,"Poison, Fighting","Anticipation, Dry Skin, Poison Touch",,,Toxicroak,False,,"Embargo, Belch, Knock Off, Feint Attack, Payback, Poison Jab, Taunt, Low Kick, Feint, Bullet Punch, Return, Shadow Ball, Spite, Drain Punch, Brick Break, Meditate, Sucker Punch, Facade, Dig, Earthquake, Swagger, Rock Smash, Role Play, Secret Power, Nasty Plot, Captivate, Thunder Punch, Rock Tomb, Natural Gift, Astonish, Icy Wind, Revenge, Attract, Quick Guard, Round, Bounce, Protect, Acupressure, Sunny Day, Dynamic Punch, Flatter, Fake Out, Wake-Up Slap, Power-Up Punch, Snatch, Ice Punch, Confide, Fury Cutter, Toxic, Me First, Mud Bomb, Mud-Slap, Pursuit, Rain Dance, Rest, Endure, Gunk Shot, Dual Chop, Poison Sting, Retaliate, Strength, Sludge Bomb, Bulldoze, Substitute, Counter, Helping Hand, Low Sweep, Rock Slide, Dark Pulse, Cross Chop, Hidden Power, Double Team, Sludge Wave, X-Scissor, Frustration, Bulk Up, Vacuum Wave, Focus Blast, Super Fang, Work Up, Foul Play, Focus Punch, Sleep Talk, Smelling Salts, Headbutt, Torment, Venoshock, Fling, Thief, Snore",48,61,40,61,40,50,{'attack': 1},https://pokemondb.net/pokedex/croagunk,http://bulbapedia.bulbagarden.net/wiki/Croagunk_(Pok%C3%A9mon)
Toxicroak,454,Toxicroak is a Poison/Fighting type Pokémon introduced in Generation 4. It is known as the Toxic Mouth Pokémon.,"Toxicroak is a dark blue and teal, bipedal Pokémon resembling a poison dart frog. Its head bears a gently-upward curling spike which seems to be a part of the skull. Its eyes are bright yellow, sinister and intimidating, with a small snake-like pupil. Its mouth gives an appearance of a mouth-guard, with its red upper lip curling upward at the ends in a very intimidating manner. Underneath its chin is a bulbous red vocal sac, which is smaller on a female Toxicroak. It has three fingers and one large red claw on the back of each hand. These claws on the backs of their hands can channel poison. Its forearms have two black rings encircling them. Its legs are muscular and seem to be adapted for speedy attacks. It has three toes on its feet, with a red middle toe on each foot, and a sharp spike which juts out of its heels. Underneath the pelvic area are two white horizontal lines. Thick black lines run down the sides of its body and surrounding its limbs, making them seem as if the limbs are detachable. The black lines go up into its face and surround the eyes before meeting in the middle of its snout, just above the upper lip.

By croaking, Toxicroak churns the poison stored in the poison sac on their throat for more potency. Toxicroak gives off poison with stings, though it can poison when touched. It can be cruel and fearsome, or it can be quite laid-back, relaxing on rocks and in marshes, studying the views around it. Toxicroak lives in moist areas around bodies of water.
",1.3,44.4,4,"Poison, Fighting","Anticipation, Dry Skin, Poison Touch",Croagunk,(Level 37),,False,,"Embargo, Belch, Knock Off, Feint Attack, Payback, Poison Jab, Taunt, Low Kick, Throat Chop, Feint, Bullet Punch, Return, Shadow Ball, Swords Dance, Spite, Drain Punch, Brick Break, Meditate, Sucker Punch, Facade, Dig, Earthquake, Swagger, Rock Smash, Role Play, Secret Power, Nasty Plot, Captivate, Giga Impact, Thunder Punch, Rock Tomb, Natural Gift, Astonish, Icy Wind, Revenge, Attract, Quick Guard, Round, Bounce, Hyper Beam, Acupressure, Sunny Day, Protect, Dynamic Punch, Flatter, Fake Out, Wake-Up Slap, Power-Up Punch, Snatch, Ice Punch, Confide, Fury Cutter, Toxic, Me First, Mud Bomb, Mud-Slap, Pursuit, Rain Dance, Cut, Rest, Endure, Gunk Shot, Dual Chop, Poison Sting, Retaliate, Strength, Sludge Bomb, Bulldoze, Substitute, Stone Edge, Counter, Helping Hand, Low Sweep, Rock Slide, Dark Pulse, Cross Chop, Hidden Power, Double Team, Sludge Wave, X-Scissor, Frustration, Bulk Up, Vacuum Wave, Focus Blast, Super Fang, Work Up, Foul Play, Focus Punch, Sleep Talk, Smelling Salts, Headbutt, Torment, Venoshock, Fling, Thief, Snore",83,106,65,86,65,85,{'attack': 2},https://pokemondb.net/pokedex/toxicroak,http://bulbapedia.bulbagarden.net/wiki/Toxicroak_(Pok%C3%A9mon)
Carnivine,455,Carnivine is a Grass type Pokémon introduced in Generation 4. It is known as the Bug Catcher Pokémon.,"Carnivine is a green Pokémon resembling a Venus flytrap. Its circular eyes have small pupils, and it has spiky teeth. Its stem is yellow with green spots, with red and green vines beneath with the appearance of tentacles. It can hang from tree branches using these vines, and it is said to look like a plant. It has two arms resembling leaves with three leafy 'fingers' each. Its mouth can open to about 180 degrees wide. With its mouth wide open, it attracts the prey it waits for with a sweet-smelling saliva, then chomps down. It takes a whole day to eat prey. It lives in forests and marshes. Its diet consists mostly of insects and small bugs.

",1.4,27.0,4,,Levitate,,,,False,,"Swallow, Acid Spray, Knock Off, Feint Attack, Slam, Stun Spore, Throat Chop, Sleep Powder, Crunch, Sweet Scent, Return, Swords Dance, Vine Whip, Wring Out, Ingrain, Facade, Spit Up, Swagger, Secret Power, Captivate, Giga Impact, Flash, Natural Gift, Seed Bomb, Attract, Round, Hyper Beam, Protect, Sunny Day, Bind, Giga Drain, Bullet Seed, Gastro Acid, Solar Beam, Thief, Magical Leaf, Confide, Fury Cutter, Toxic, Infestation, Leech Seed, Mud-Slap, Razor Leaf, Bug Bite, Worry Seed, Rest, Cut, Endure, Grass Knot, Sludge Bomb, Substitute, Synthesis, Nature Power, Bite, Hidden Power, Growth, Defog, Grass Whistle, Double Team, Energy Ball, Frustration, Leaf Tornado, Rage Powder, Sleep Talk, Power Whip, Fling, Stockpile, Payback, Snore",74,100,72,90,72,46,{'attack': 2},https://pokemondb.net/pokedex/carnivine,http://bulbapedia.bulbagarden.net/wiki/Carnivine_(Pok%C3%A9mon)
Finneon,456,Finneon is a Water type Pokémon introduced in Generation 4. It is known as the Wing Fish Pokémon.,"Finneon is a small fish Pokémon with an ellipsoid body. The bottom half of its body is light-blue while the top half is black. A purple stripe runs across Finneon's horizontal length. This stripe can store sunlight, which allows Finneon to shine vividly at night. It has small blue pectoral fins, two black oval-shaped dorsal fins and purple eyes. Finneon's most notable feature is the pair of caudal fins that resemble a pair of blue butterfly wings with purple spots. Because of its wing-like fins, it is known as ""The Beautifly of the Sea"". The bottom lobes of a female Finneon's tail fin are bigger than a male's. It lives in bodies of water, and it travels in schools, sometimes with Lumineon. Wingull is a natural predator of Finneon.
",0.4,7.0,4,,"Swift Swim, Storm Drain, Water Veil",,,Lumineon,False,,"Tailwind, Toxic, Signal Beam, Charm, Payback, Rain Dance, Swift, Rest, Endure, Dive, Flail, Gust, Confuse Ray, Return, U-turn, Ominous Wind, Substitute, Waterfall, Aqua Tail, Sweet Kiss, Silver Wind, Facade, Nature Power, Brine, Swagger, Water Gun, Ice Beam, Psych Up, Aurora Beam, Soak, Splash, Secret Power, Captivate, Hidden Power, Whirlpool, Agility, Blizzard, Air Cutter, Flash, Defog, Natural Gift, Double Team, Icy Wind, Pound, Psybeam, Water Pulse, Tickle, Frustration, Twister, Round, Bounce, Protect, Scald, Safeguard, Aqua Ring, Sleep Talk, Surf, Hail, Attract, Confide, Snore",49,49,56,49,61,66,{'speed': 1},https://pokemondb.net/pokedex/finneon,http://bulbapedia.bulbagarden.net/wiki/Finneon_(Pok%C3%A9mon)
Lumineon,457,Lumineon is a Water type Pokémon introduced in Generation 4. It is known as the Neon Pokémon.,"Lumineon is a fish-like Pokémon with dark blue scales. Its eyes are deep pink, and its face and eyelids are light blue. It has two pairs of large pectoral fins that resemble butterfly wings. These fins have wavy, light blue markings around the edges, and the lower pair is longer on the female. There is a band of light blue running vertically around its body. Its tail is long with a deep pink spot at the tip, and it has a pair of light blue pelvic fins.

Lumineon usually makes its home deep in the ocean, where it walks along the seafloor using the fins on its chest. This behavior helps it to avoid predators. Lumineon attracts its own prey by using the patterning on its wing-like fins, and typically competes with Lanturn for food. Lumineon preys on Starmie.
",1.2,24.0,4,,"Swift Swim, Storm Drain, Water Veil",Finneon,(Level 31),,False,,"Tailwind, Toxic, Signal Beam, Charm, Payback, Rain Dance, Swift, Rest, Endure, Dive, Flail, Gust, Confuse Ray, Return, U-turn, Ominous Wind, Substitute, Waterfall, Aqua Tail, Sweet Kiss, Silver Wind, Facade, Nature Power, Brine, Swagger, Water Gun, Ice Beam, Psych Up, Aurora Beam, Soak, Splash, Secret Power, Captivate, Giga Impact, Hidden Power, Whirlpool, Agility, Blizzard, Air Cutter, Flash, Defog, Natural Gift, Double Team, Icy Wind, Pound, Psybeam, Water Pulse, Tickle, Frustration, Twister, Round, Bounce, Hyper Beam, Protect, Scald, Safeguard, Aqua Ring, Sleep Talk, Surf, Hail, Attract, Confide, Snore",69,69,76,69,86,91,{'speed': 2},https://pokemondb.net/pokedex/lumineon,http://bulbapedia.bulbagarden.net/wiki/Lumineon_(Pok%C3%A9mon)
Mantyke,458,Mantyke is a Water/Flying type Pokémon introduced in Generation 4. It is known as the Kite Pokémon.,"Mantyke resembles a manta ray. It has a round body with wide, flat fins. Its back is dark blue, while its underside is light blue. There are two red spots with white outlines and a light blue, curved line on its back. These markings give the overall impression of a smiling face and vary slightly in each region. It has two long, curving antennae on top of its head and black eyes with eyelash-like markings underneath. The antennae are used to sense ocean currents. Mantyke is a friendly Pokémon that can be found approaching boats and swimming near the ocean's surface with schools of Remoraid.
",1.0,65.0,4,"Water, Flying","Swift Swim, Water Absorb, Water Veil",,,Mantine,False,,"Tailwind, Toxic, Signal Beam, Mud-Slap, Tackle, Slam, Supersonic, Rain Dance, Swift, Rest, Endure, Dive, Confuse Ray, Return, Hydro Pump, Bulldoze, Substitute, Waterfall, Amnesia, Take Down, Helping Hand, Facade, Earthquake, Rock Slide, Swagger, Ice Beam, Aerial Ace, Bubble, Splash, Secret Power, Captivate, Hidden Power, Blizzard, Agility, Wing Attack, Air Slash, Mirror Coat, Whirlpool, Air Cutter, Mud Sport, Double Team, Icy Wind, Natural Gift, Water Pulse, Water Sport, Frustration, Twister, Acrobatics, Round, Bounce, Protect, Scald, Aqua Ring, Sleep Talk, Surf, Headbutt, Bubble Beam, Haze, Hail, Attract, Confide, Wide Guard, Snore",45,20,50,60,120,50,{'sp_defense': 1},https://pokemondb.net/pokedex/mantyke,http://bulbapedia.bulbagarden.net/wiki/Mantyke_(Pok%C3%A9mon)
Snover,459,Snover is a Grass/Ice type Pokémon introduced in Generation 4. It is known as the Frost Tree Pokémon.,"Snover is a creature with a white upper body and brown lower body that resembles a snow-covered tree. It will be two-thirds brown if male and two-thirds white if female. It has green eyes and three points on top of its head. Its feet and green tail are stubby, and there are two green spikes that resemble pinecones on its back. Five cones form its hand: a large central cone with four smaller cones around it. Edible white berries grow along Snover's midsection. Snover lives on snowy peaks in warm seasons, but migrates lower as the weather cools. A curious Pokémon, it often approaches people and can be found inspecting footprints in the snow.
",1.0,50.5,4,"Grass, Ice","Snow Warning, Soundproof",,,Abomasnow,False,,"Sheer Cold, Toxic, Leech Seed, Mud-Slap, Iron Tail, Razor Leaf, Rain Dance, Frost Breath, Worry Seed, Rest, Endure, Grass Knot, Return, Shadow Ball, Swords Dance, Substitute, Avalanche, Ice Shard, Ingrain, Synthesis, Wood Hammer, Facade, Swagger, Ice Beam, Role Play, Secret Power, Captivate, Hidden Power, Blizzard, Growth, Flash, Natural Gift, Grass Whistle, Icy Wind, Seed Bomb, Skull Bash, Ice Punch, Water Pulse, Light Screen, Frustration, Double-Edge, Double Team, Attract, Energy Ball, Leer, Round, Protect, Giga Drain, Safeguard, Sleep Talk, Bullet Seed, Headbutt, Powder Snow, Solar Beam, Mist, Stomp, Magical Leaf, Hail, Confide, Snore",60,62,50,62,60,40,{'attack': 1},https://pokemondb.net/pokedex/snover,http://bulbapedia.bulbagarden.net/wiki/Snover_(Pok%C3%A9mon)
Abomasnow,460,Abomasnow is a Grass/Ice type Pokémon introduced in Generation 4. It is known as the Frost Tree Pokémon.,"Abomasnow is a large, bipedal creature covered in shaggy, white fur. It has pale purple eyes with bushy eyebrows and long strands of fur covering its mouth. Two tufts of longer fur grow on both its back and chest, with the chest fur being longer on the female. Its hands, feet, and tail are dark green and spiky, similar to the foliage of an evergreen tree. On its back are four green spikes that resemble pinecones. Abomasnow lives in snowy mountains and appears only when snow flowers bloom. Once the flowers die, it retreats to isolated areas. It is able to create blizzards to hide itself.

The sprouts on its back grow into great shafts of ice when this Pokémon Mega Evolves into Mega Abomasnow[1]. Its fur becomes longer and shaggy over its entire body, particularly around its head. Green fur or sprout remnants surround the base of the large icicles on its back, while white fur covers the middle.
",2.2,135.5,4,"Grass, Ice","Snow Warning, Soundproof",Snover,(Level 40),,False,Mega Abomasnow,"Sheer Cold, Iron Tail, Outrage, Return, Shadow Ball, Swords Dance, Avalanche, Brick Break, Ice Shard, Ingrain, Facade, Wood Hammer, Earthquake, Swagger, Rock Smash, Role Play, Secret Power, Captivate, Giga Impact, Flash, Blizzard, Rock Tomb, Natural Gift, Icy Wind, Seed Bomb, Skull Bash, Double-Edge, Round, Hyper Beam, Protect, Giga Drain, Safeguard, Bullet Seed, Powder Snow, Solar Beam, Mist, Ice Punch, Magical Leaf, Hail, Confide, Toxic, Leech Seed, Mud-Slap, Razor Leaf, Rain Dance, Frost Breath, Worry Seed, Rest, Endure, Grass Knot, Strength, Bulldoze, Substitute, Synthesis, Rock Slide, Ice Beam, Hidden Power, Growth, Stomping Tantrum, Grass Whistle, Light Screen, Double Team, Water Pulse, Frustration, Energy Ball, Leer, Block, Focus Blast, Focus Punch, Sleep Talk, Headbutt, Stomp, Fling, Attract, Snore",90,92,75,92,85,60,"{'attack': 1, 'sp_attack': 1}",https://pokemondb.net/pokedex/abomasnow,http://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon)
Mega Abomasnow,460,Abomasnow is a Grass/Ice type Pokémon introduced in Generation 4. It is known as the Frost Tree Pokémon.,"Abomasnow is a large, bipedal creature covered in shaggy, white fur. It has pale purple eyes with bushy eyebrows and long strands of fur covering its mouth. Two tufts of longer fur grow on both its back and chest, with the chest fur being longer on the female. Its hands, feet, and tail are dark green and spiky, similar to the foliage of an evergreen tree. On its back are four green spikes that resemble pinecones. Abomasnow lives in snowy mountains and appears only when snow flowers bloom. Once the flowers die, it retreats to isolated areas. It is able to create blizzards to hide itself.

The sprouts on its back grow into great shafts of ice when this Pokémon Mega Evolves into Mega Abomasnow[1]. Its fur becomes longer and shaggy over its entire body, particularly around its head. Green fur or sprout remnants surround the base of the large icicles on its back, while white fur covers the middle.
",2.7,185.0,,"Grass, Ice",Snow Warning,Snover,,,True,,"Sheer Cold, Iron Tail, Outrage, Return, Shadow Ball, Swords Dance, Avalanche, Brick Break, Ice Shard, Ingrain, Facade, Wood Hammer, Earthquake, Swagger, Rock Smash, Role Play, Secret Power, Captivate, Giga Impact, Flash, Blizzard, Rock Tomb, Natural Gift, Icy Wind, Seed Bomb, Skull Bash, Double-Edge, Round, Hyper Beam, Protect, Giga Drain, Safeguard, Bullet Seed, Powder Snow, Solar Beam, Mist, Ice Punch, Magical Leaf, Hail, Confide, Toxic, Leech Seed, Mud-Slap, Razor Leaf, Rain Dance, Frost Breath, Worry Seed, Rest, Endure, Grass Knot, Strength, Bulldoze, Substitute, Synthesis, Rock Slide, Ice Beam, Hidden Power, Growth, Stomping Tantrum, Grass Whistle, Light Screen, Double Team, Water Pulse, Frustration, Energy Ball, Leer, Block, Focus Blast, Focus Punch, Sleep Talk, Headbutt, Stomp, Fling, Attract, Snore",90,132,105,132,105,30,"{'attack': 1, 'sp_attack': 1}",https://pokemondb.net/pokedex/abomasnow,http://bulbapedia.bulbagarden.net/wiki/Abomasnow_(Pok%C3%A9mon)
Weavile,461,Weavile is a Dark/Ice type Pokémon introduced in Generation 4. It is known as the Sharp Claw Pokémon.,"Weavile is a bipedal, weasel-like Pokémon with a pale, gray body that has several feathery areas. It has a bright red crown and collar made of wide feathers, and a single, thinner feather on each ear. The ear feathers are smaller on a female Weavile. Weavile has two tail feathers and three claws on each paw. There is a yellow, oval marking in the center of its forehead. Its eyes are red with three eyelashes, and four fangs protrude from its upper jaw.

Weavile is devious and intelligent. It usually lives in cold, icy areas where it forms small packs of four or five members. A pack of Weavile uses teamwork to take down its prey. In Alola, Weavile hunts Alolan Sandshrew and Vulpix, then divides its prey among the pack. It can communicate in the form of carving patterns on trees, ice and boulders.
",1.1,34.0,4,"Dark, Ice","Pressure, Pickpocket",Sneasel,"(hold Razor Claw, Nighttime)",,False,,"Embargo, Iron Tail, Knock Off, Feint Attack, Payback, Poison Jab, Swift, Taunt, Low Kick, Throat Chop, Foresight, Feint, Icicle Crash, Return, Shadow Ball, Swords Dance, Spite, Avalanche, Fury Swipes, Brick Break, Ice Shard, Facade, Dig, Assist, Swagger, Screech, Psych Up, Rock Smash, Secret Power, Nasty Plot, Captivate, Giga Impact, Whirlpool, Agility, Blizzard, Metal Claw, Snarl, Quick Attack, Natural Gift, Icy Wind, Revenge, Attract, Double Hit, Round, Hyper Beam, Protect, Sunny Day, Crush Claw, Beat Up, Fake Out, Surf, Power-Up Punch, Snatch, Hail, Ice Punch, Reflect, Confide, Fury Cutter, Toxic, Mud-Slap, Laser Focus, Pursuit, Rain Dance, Cut, Rest, Endure, Assurance, Punishment, Retaliate, Dream Eater, Strength, Substitute, Counter, Low Sweep, False Swipe, Scratch, Dark Pulse, Ice Beam, Aerial Ace, Bite, Calm Mind, Night Slash, Hidden Power, Hone Claws, Double Team, X-Scissor, Frustration, Leer, Focus Blast, Foul Play, Shadow Claw, Focus Punch, Sleep Talk, Headbutt, Torment, Fling, Thief, Slash, Snore",70,120,65,45,85,125,"{'attack': 1, 'speed': 1}",https://pokemondb.net/pokedex/weavile,http://bulbapedia.bulbagarden.net/wiki/Weavile_(Pok%C3%A9mon)
Magnezone,462,Magnezone is an Electric/Steel type Pokémon introduced in Generation 4. It is known as the Magnet Area Pokémon.,"Magnezone is the result of Magneton leveling up in the presence of a special magnetic field. The evolution is done on a molecular level, but despite this, scientists have failed at attempts to force it. Magnezone's body is wide and circular, similar to a disc or saucer, with a thin edge circling the diameter of its body. Its main eye is in the center, containing a large, red pupil. On each side of its body, it has a ball shaped addition, with each side containing an eye, horseshoe magnet, and Phillips head screw. These secondary eyes can move independently of its main eye, as shown in Confronting the Darkness! On top of its head is a tall, thin, yellow rod, closely resembling an antenna, which it uses for certain attacks. Behind its body is a third horseshoe magnet, positioned like a tail.

Magnezone is a seemingly-mechanical, genderless creature, but it has emotions, a way of reproducing, and the need for nourishment. With its magnets, it has the ability to control anti-gravity and float through the air at will. As seen in Giratina and the Sky Warrior and Phantom Thief Pokémon 7, Magnezone's anti-gravity is strong enough to carry humans with ease. Magnezone is rarely seen in the wild, but as seen in the anime, Magnezone can be very aggressive and territorial. However, it will rarely attack unless provoked. Magnezone is said to be one of the best defensive Pokémon yet. It flies through the night sky, often mistaken for a UFO sighting, though it seems to be receiving and sending signals from an unknown source and an unknown purpose. This leads some people to believe that Magnezone came from outer space.
",1.2,180.0,4,"Electric, Steel","Magnet Pull, Sturdy, Analytic",Magneton,(level up in a Magnetic Field area),,False,,"Charge Beam, Magnet Bomb, Signal Beam, Tri Attack, Tackle, Wild Charge, Electro Ball, Magnetic Flux, Swift, Barrier, Shock Wave, Gravity, Return, Iron Defense, Recycle, Facade, Swagger, Screech, Psych Up, Flash Cannon, Secret Power, Discharge, Giga Impact, Flash, Mirror Coat, Natural Gift, Magnet Rise, Metal Sound, Round, Rollout, Hyper Beam, Protect, Sunny Day, Electric Terrain, Thunder, Reflect, Confide, Toxic, Supersonic, Rain Dance, Rest, Volt Switch, Endure, Iron Head, Ally Switch, Thunderbolt, Substitute, Magic Coat, Hidden Power, Thunder Shock, Thunder Wave, Mirror Shot, Light Screen, Double Team, Explosion, Lock-On, Frustration, Spark, Gyro Ball, Electroweb, Sleep Talk, Sonic Boom, Zap Cannon, Snore",70,70,115,130,90,60,{'sp_attack': 3},https://pokemondb.net/pokedex/magnezone,http://bulbapedia.bulbagarden.net/wiki/Magnezone_(Pok%C3%A9mon)
Lickilicky,463,Lickilicky is a Normal type Pokémon introduced in Generation 4. It is known as the Licking Pokémon.,"Lickilicky is a dark pink, rotund Pokémon with a small tail and a long tongue. It has a yellow line pattern on its belly and a white bib-like pattern, making it almost resemble a round baby boy. It also has what appears to be a curled appendage on its head. It has a big appetite. It can lick anything or anyone close by for any leftover crumbs. Its saliva contains a numbing solvent and can decompose anything, and it wraps its long tongue around things, like its prey, to coat them with its sticky saliva. It has space in its throat to store saliva, and it can also roll up its tongue and store it there.

Lickilicky lives in forests with a large body of water. It uses its tongue with more skill than it would its hands and feet, and a current record of its stretch length reaches 82 feet.
",1.7,140.0,4,,"Own Tempo, Oblivious, Cloud Nine",Lickitung,(after Rollout learned),,False,,"Iron Tail, Belch, Knock Off, Slam, Shock Wave, Magnitude, Zen Headbutt, Return, Shadow Ball, Refresh, Swords Dance, Muddy Water, Brick Break, Amnesia, Aqua Tail, Wring Out, Hammer Arm, Facade, Dig, Earthquake, Swagger, Screech, Psych Up, Belly Drum, Rock Smash, Secret Power, Captivate, Giga Impact, Whirlpool, Blizzard, Thunder Punch, Rock Tomb, Natural Gift, Icy Wind, Attract, Rollout, Round, Hyper Beam, Protect, Sunny Day, Bind, Thunder, Fire Punch, Surf, Power-Up Punch, Solar Beam, Ice Punch, Incinerate, Curse, Confide, Toxic, Me First, Brutal Swing, Mud-Slap, Rain Dance, Supersonic, Cut, Rest, Endure, Chip Away, Retaliate, Thunderbolt, Disable, Dream Eater, Strength, Wrap, Lick, Bulldoze, Substitute, Body Slam, Rock Slide, Ice Beam, Defense Curl, Hidden Power, Sandstorm, Stomping Tantrum, Double Team, Dragon Tail, Explosion, Water Pulse, Frustration, Focus Blast, Block, Work Up, Gyro Ball, Focus Punch, Sleep Talk, Flamethrower, Smelling Salts, Fire Blast, Headbutt, Thrash, Power Whip, Stomp, Fling, Thief, Snore",110,85,95,80,95,50,{'health': 3},https://pokemondb.net/pokedex/lickilicky,http://bulbapedia.bulbagarden.net/wiki/Lickilicky_(Pok%C3%A9mon)
Rhyperior,464,Rhyperior is a Ground/Rock type Pokémon introduced in Generation 4. It is known as the Drill Pokémon.,"Rhyperior is a large, brownish-gray Pokémon with two horns: one on its nose, and another one above it. The upper horn is smaller on a female Rhyperior. It has a club-like tail and its hide is partially covered by orange, rocky plates. It has blade-like protrusions on its elbows and has holes in the palms of its hands which works as a cannon or a gun. Rhyperior can insert rocks and boulders into its arms through the holes in its hands and then fire them like bullets, as seen with its former signature move, Rock Wrecker. However, it will occasionally insert and fire Geodude by accident. It also appears to have two thick, rectangular rocks above its eyes, resembling heavy eyebrows. Rhyperior lives far up in the mountains.
",2.4,282.8,4,"Ground, Rock","Lightning Rod, Solid Rock, Reckless",Rhydon,(trade holding Protector),,False,,"Superpower, Iron Tail, Payback, Poison Jab, Shock Wave, Rock Polish, Crunch, Magnitude, Outrage, Return, Swords Dance, Spite, Reversal, Avalanche, Brick Break, Aqua Tail, Take Down, Rock Climb, Facade, Hammer Arm, Earthquake, Endeavor, Megahorn, Dig, Rock Wrecker, Swagger, Flash Cannon, Rock Smash, Secret Power, Captivate, Giga Impact, Whirlpool, Blizzard, Thunder Punch, Rock Tomb, Natural Gift, Icy Wind, Skull Bash, Attract, Fire Fang, Rollout, Round, Hyper Beam, Protect, Sunny Day, Earth Power, Crush Claw, Thunder, Fire Punch, Surf, Power-Up Punch, Stealth Rock, Thief, Ice Punch, Incinerate, Curse, Confide, Fury Cutter, Toxic, Brutal Swing, Uproar, Mud-Slap, Thunder Fang, Scary Face, Tail Whip, Rain Dance, Horn Drill, Rest, Cut, Endure, Chip Away, Smack Down, Fury Attack, Iron Head, Thunderbolt, Strength, Bulldoze, Substitute, Stone Edge, Ancient Power, Counter, Roar, Rototiller, Smart Strike, Ice Fang, Rock Slide, Ice Beam, Dragon Rush, Horn Attack, Hidden Power, Sandstorm, Guard Split, Stomping Tantrum, Drill Run, Double Team, Dragon Tail, Frustration, Focus Blast, Block, Shadow Claw, Focus Punch, Flamethrower, Sleep Talk, Rock Blast, Fire Blast, Headbutt, Stomp, Fling, Dragon Pulse, Snore, Metal Burst",115,140,130,55,55,40,{'attack': 3},https://pokemondb.net/pokedex/rhyperior,http://bulbapedia.bulbagarden.net/wiki/Rhyperior_(Pok%C3%A9mon)
Tangrowth,465,Tangrowth is a Grass type Pokémon introduced in Generation 4. It is known as the Vine Pokémon.,"Tangrowth is a large Pokémon with a black body wrapped in blue vines. The vines are used to entangle foes and prey. A pair of saucer-like eyes peeks out from beneath the tangled mess of vines. However, these eyes may be hidden in warm seasons due to how profusely the vines grow. Its stubby black feet are tipped with red. Tangrowth has a pair of blue boneless arms that have three fingers. These fingers are completely red on a female Tangrowth, while they have red tips on a male. Tangrowth is unfazed if one of its arms is broken off, as it will easily grow back. Tangrowth is very rare in the wild, though it can be found in temperate grasslands.
",2.0,128.6,4,,"Chlorophyll, Leaf Guard, Regenerator",Tangela,(after Ancient Power learned),,False,,"Confusion, Knock Off, Slam, Payback, Poison Jab, Stun Spore, Sleep Powder, Shock Wave, Flail, Return, Swords Dance, Vine Whip, Brick Break, Amnesia, Wring Out, Ingrain, Endeavor, Facade, Earthquake, Swagger, Pain Split, Psych Up, Rock Smash, Secret Power, Poison Powder, Captivate, Giga Impact, Flash, Natural Gift, Rock Tomb, Seed Bomb, Attract, Round, Hyper Beam, Protect, Sunny Day, Bind, Giga Drain, Wake-Up Slap, Bullet Seed, Solar Beam, Thief, Reflect, Absorb, Constrict, Confide, Toxic, Infestation, Leech Seed, Mud-Slap, Grassy Terrain, Cut, Worry Seed, Rest, Endure, Grass Knot, Strength, Sludge Bomb, Bulldoze, Substitute, Ancient Power, Synthesis, Nature Power, Rock Slide, Aerial Ace, Hidden Power, Growth, Stomping Tantrum, Double Team, Tickle, Energy Ball, Frustration, Block, Focus Blast, Mega Drain, Rage Powder, Sleep Talk, Power Whip, Leaf Storm, Headbutt, Fling, Power Swap, Snore",100,100,125,110,50,50,{'defense': 2},https://pokemondb.net/pokedex/tangrowth,http://bulbapedia.bulbagarden.net/wiki/Tangrowth_(Pok%C3%A9mon)
